_id,PK,CCR,AGE,GENDER,RACE,MONTHNUM,DAY,YEAR,DATE,MONTHYEAR,MONTHNAME,DAYOFWEEK,TIME,NUMMIN,ARRESTLOCATION,OFFENSES,INCIDENTLOCATION,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y,group,zone_name,ISSAMEDISTANCE
7603,1984088,16211980,26,Male,Black,4,20,2017,20-Apr-17,Apr-17,April,Sunday,17:50:00,1070,"900 Block 2nd AV Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"600 Block Lillian ST Pittsburgh, PA 15210",Allentown,3,1803,3,4,-79.99717741,40.41848399,20-29,South Side,2852
7628,1984115,17037283,24,Female,Black,4,20,2017,20-Apr-17,Apr-17,April,Thursday,16:30:00,990,"900 Block 2nd AV Pittsburgh, PA 15219",2702 Aggravated Assault.,"700 Block Junilla ST Pittsburgh, PA 15219",Bedford Dwellings,2,509,6,3,-79.97246499,40.44965592,20-29,Downtown/Hill/Strip,6019
7630,1984117,17038664,44,Female,White,4,20,2017,20-Apr-17,Apr-17,April,Saturday,06:20:00,380,"100 Block California AV Avalon, PA 15202",903 Criminal Conspiracy. / 2701 Simple Assault. / 2706 Terroristic Threats. / 3701 Robbery. / 2709.2 Stalking Conduct or Repeatedly Communicates,"2800 Block California AV Pittsburgh, PA 15212",Marshall-Shadeland,1,2715,1,1,-80.03535884,40.46880098,40-49,North Side,6986
7636,1984123,17063656,37,Male,White,4,20,2017,20-Apr-17,Apr-17,April,Friday,10:00:00,600,"600 Block 1st AV Pittsburgh, PA 15219",2701 Simple Assault.,"5300 Block Liberty AV Pittsburgh, PA 15224",Bloomfield,5,804,7,2,-79.93965349,40.45656694,30-39,East End (North),6689
7670,1984157,17071046,32,Male,White,4,20,2017,20-Apr-17,Apr-17,April,Thursday,10:01:00,601,"2800 Block Spring Garden AV Pittsburgh, PA 15212",3925 Receiving Stolen Property. / 5104 Resisting Arrest or Other Law Enforcement.,"2500 Block Spring Garden AV Pittsburgh, PA 15212",Spring Garden,1,2412,1,1,-79.98773531,40.47277887,30-39,North Side,436
7608,1984093,17035127,30,Female,White,4,20,2017,20-Apr-17,Apr-17,April,Friday,13:37:00,817,"500 Block East Ohio ST Pittsburgh, PA 15212",9501 Bench Warrant,"300 Block Cedar AV Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-80.00084389,40.45089272,30-39,North Side,352
7606,1984091,17021263,27,Male,White,4,20,2017,20-Apr-17,Apr-17,April,Wednesday,23:55:00,1435,"900 Block 2nd AV Pittsburgh, PA 15219",9015 Failure To Appear/Arrest on Attachment Order,"1700 Block Saw Mill Run BL Pittsburgh, PA 15210",Carrick,3,2901,4,4,-79.99846543,40.39604688,20-29,South Side,4893
7692,1984179,17062507,22,Male,White,4,20,2017,20-Apr-17,Apr-17,April,Friday,07:50:00,470,"600 Block 1st AV Pittsburgh, PA 15219",2701 Simple Assault.,"300 Block North Shore DR Pittsburgh, PA 15212",North Shore,1,2205,1,1,-80.00964027,40.45494869,20-29,North Side,3469
7585,1984054,17070187,65,Male,Black,4,19,2017,19-Apr-17,Apr-17,April,Wednesday,02:20:00,140,"Wood ST & 6th AV Pittsburgh, PA 15222",2702 Aggravated Assault.,"Wood ST & 6th AV Pittsburgh, PA",Central Business District,2,201,6,6,-79.99949835,40.44209961,60 and greater,Downtown/Hill/Strip,0
7577,1984046,17069654,32,Male,Black,4,19,2017,19-Apr-17,Apr-17,April,Tuesday,10:21:00,621,"600 Block 1st AV Pittsburgh, PA 15219",2701 Simple Assault.,"6400 Block Centre AV Pittsburgh, PA 15206",East Liberty,5,1115,9,2,-79.92120852,40.46287849,30-39,East End (North),7973
7566,1984035,16227088,26,Male,Black,4,19,2017,19-Apr-17,Apr-17,April,Friday,19:08:00,1148,"Monticello ST & Collier ST Pittsburgh, PA 15208",2702 Aggravated Assault. / 4304(a)(1) Endangering Welfare of Children. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,"7400 Block Monticello ST Pittsburgh, PA 15208",Homewood North,5,1302,9,2,-79.89101264,40.45831363,20-29,East End (North),879636
7587,1984056,17070296,26,Male,Black,4,19,2017,19-Apr-17,Apr-17,April,Friday,11:00:00,660,"7100 Block Hermitage ST Pittsburgh, PA 15208",9093 Indirect Criminal Contempt,"6700 Block Lyric ST Pittsburgh, PA 15206",Lincoln-Lemington-Belmar,5,1203,9,2,-79.9036685,40.46366864,20-29,East End (North),777
7571,1984040,17058091,25,Male,Black,4,19,2017,19-Apr-17,Apr-17,April,Wednesday,02:35:00,155,"900 Block 2ND AV Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"2300 Block Brownsville RD Pittsburgh, PA 15210",Carrick,3,2904,4,4,-79.98551986,40.38904931,20-29,South Side,7614
7689,1984176,17056360,20,Female,Black,4,19,2017,19-Apr-17,Apr-17,April,Tuesday,12:26:00,746,"600 Block 1st AV Pittsburgh, PA 15219",3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,"300 Block Dunlap ST Pittsburgh, PA 15214",Perry North,1,2607,1,1,-80.01319,40.48644251,20-29,North Side,8458
7616,1984101,17070299,17,Male,Black,4,19,2017,19-Apr-17,Apr-17,April,Saturday,14:00:00,840,"600 Block 1ST AV PITTSBURGH, PA 15219",2705 Recklessy Endangering Another Person. / 2706 Terroristic Threats. / 3302 Causing or Risking Catastrophe. / 5503 Disorderly Conduct.,"500 Block CRANE AV PITTSBURGH, PA 15216",Beechview,6,1916,4,5,-80.01823348,40.41698861,10-19,West End/South Side,5957
7642,1984129,17070586,50,Male,White,4,19,2017,19-Apr-17,Apr-17,April,Thursday,17:00:00,1020,"Range WY S & General Robinson ST E Pittsburgh, PA 15212",3714 Careless Driving / 3802(a)(1) DUI - General Impairment / 3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16% / 3809(a) Restriction on Alcoholic Beverages in Vehicle,"Federal ST & General Robinson ST Pittsburgh, PA 15212",North Shore,1,2205,1,6,-80.00425006,40.44824568,50-59,North Side,2357027
7646,1984133,17070687,46,Female,White,4,19,2017,19-Apr-17,Apr-17,April,Monday,19:18:00,1158,"Estella AV & Climax ST Pittsburgh, PA 15210",3323 Stop Signs and Yield Signs. / 3334 Turning Movements and Required Signals. / 13(a)(16) Possession of Controlled Substance,"Freeland ST & Estella AV Pittsburgh, PA 15210",Beltzhoover,3,1809,3,4,-80.00045747,40.4190587,40-49,South Side,860397
7696,1984183,17069142,43,Female,White,4,19,2017,19-Apr-17,Apr-17,April,Tuesday,21:23:00,1283,"600 Block 1st AV Pittsburgh, PA 15219","3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","900 Block Freeport RD Pittsburgh, PA 15238",Lincoln-Lemington-Belmar,5,1201,9,2,-79.89431722,40.48808181,40-49,East End (North),15033
7567,1984036,17005783,36,Male,White,4,19,2017,19-Apr-17,Apr-17,April,Saturday,09:55:00,595,"600 Block 1st AV Pittsburgh, PA 15219",907 Possessing Instruments of Crime. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 780-113.4(a1) Prohibited Acts - Operating A Methamphetamine Lab And Dumping,"5300 Block Keystone ST Pittsburgh, PA 15201",Upper Lawrenceville,2,1011,7,2,-79.95067526,40.48105004,30-39,Downtown/Hill/Strip,12812
7573,1984042,17061829,31,Male,White,4,19,2017,19-Apr-17,Apr-17,April,Friday,09:20:00,560,"600 Block 1st AV Pittsburgh, PA 15219",903 Criminal Conspiracy. / 2709(a)(4) Harassment Communicates Prohibited Acts / 2709.1 Stalking Conduct or Repeatedly Acts Including Follows,"800 Block E Warrington AV Pittsburgh, PA 15210",Allentown,3,1803,3,4,-79.99357756,40.42153188,30-39,South Side,2814
7570,1984039,17023835,26,Male,White,4,19,2017,19-Apr-17,Apr-17,April,Tuesday,22:07:00,1327,"700 Block Mc Lain ST Pittsburgh, PA 15210",9015 Failure To Appear/Arrest on Attachment Order,"100 Block S 18th ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,4,-79.98083281,40.42813128,20-29,South Side,3210
7505,1983954,16135802,56,Male,Black,4,18,2017,18-Apr-17,Apr-17,April,Sunday,12:00:00,720,"1400 Block Washington BL Pittsburgh, PA 15206",9015 Failure To Appear/Arrest on Attachment Order,"400 Block N Highland AV Pittsburgh, PA 15206",East Liberty,5,1115,9,2,-79.92217164,40.4651578,50-59,East End (North),4269
7517,1983966,17065048,42,Male,Black,4,18,2017,18-Apr-17,Apr-17,April,Friday,14:31:00,871,"900 Block 2nd AV Pittsburgh, PA 15219","6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)","2300 Block Mission ST Pittsburgh, PA 15203",South Side Slopes,3,1608,3,4,-79.97373053,40.42301753,40-49,South Side,2702
7590,1984075,17070024,40,Male,Black,4,18,2017,18-Apr-17,Apr-17,April,Monday,19:55:00,1195,"Federal ST N & Hemlock ST Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount,"Federal ST & Hemlock ST Pittsburgh, PA 15212",Central North Side,1,2206,1,1,-80.0072265,40.45727922,40-49,North Side,1046
7508,1983957,16221477,40,Female,Black,4,18,2017,18-Apr-17,Apr-17,April,Wednesday,19:55:00,1195,"Federal ST N & Hemlock ST Pittsburgh, PA 15212",903 Criminal Conspiracy. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,"1800 Block Letsche ST Pittsburgh, PA 15214",Fineview,1,2509,6,1,-80.00823887,40.46262849,40-49,North Side,2171
7694,1984181,17065865,37,Male,Black,4,18,2017,18-Apr-17,Apr-17,April,Sunday,15:00:00,900,"600 Block 1st AV Pittsburgh, PA 15219",3921 Theft by Unlawful Taking or Disposition.,"500 Block Wyncotte ST Pittsburgh, PA 15204",Sheraden,6,2018,2,5,-80.05486541,40.45899078,30-39,West End/South Side,6862
7519,1983968,17065841,30,Male,Black,4,18,2017,18-Apr-17,Apr-17,April,Sunday,10:20:00,620,"600 Block 1st AV Pittsburgh, PA 15219",2702 Aggravated Assault.,"3100 Block Cordell PL Pittsburgh, PA 15203",Arlington Heights,3,1604,3,4,-79.96341784,40.41766931,30-39,South Side,5422
7520,1983969,17065841,29,Male,Black,4,18,2017,18-Apr-17,Apr-17,April,Monday,07:10:00,430,"3300 Block McClure AV Pittsburgh, PA 15212","901 Criminal Attempt / 903 Criminal Conspiracy. / 2702 Aggravated Assault. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License.","3100 Block Cordell PL Pittsburgh, PA 15203",Arlington Heights,3,1604,3,4,-79.96341784,40.41766931,20-29,South Side,12321
7514,1983963,17045209,29,Male,Black,4,18,2017,18-Apr-17,Apr-17,April,Tuesday,07:30:00,450,"600 Block 1st AV Pittsburgh, PA 15219",2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 4304(a)(1) Endangering Welfare of Children.,"200 Block Birmingham AV Pittsburgh, PA 15210",Carrick,3,2902,4,4,-79.98625089,40.4022399,20-29,South Side,7956
7510,1983959,17063337,27,Female,Black,4,18,2017,18-Apr-17,Apr-17,April,Friday,18:50:00,1130,"N Homewood AV & Fleury WY Pittsburgh, PA 15208",2705 Recklessy Endangering Another Person. / 2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner,"7300 Block Stranahan ST Pittsburgh, PA 15206",Homewood North,5,1301,9,2,-79.88980043,40.46157497,20-29,East End (North),1113
7516,1983965,17050593,24,Male,Black,4,18,2017,18-Apr-17,Apr-17,April,Thursday,13:10:00,790,"600 Block 1ST AV Pittsburgh, PA 15219","4304(a)(1) Endangering Welfare of Children. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","100 Block KNOX AV PITTSBURGH, PA 15210",Knoxville,3,3001,3,4,-79.99064494,40.41555294,20-29,South Side,3456
7513,1983962,17043511,23,Male,Black,4,18,2017,18-Apr-17,Apr-17,April,Monday,14:05:00,845,"900 Block 2nd AV Pittsburgh, PA 15219",9015 Failure To Appear/Arrest on Attachment Order,"1700 Block E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,4,-79.98186901,40.4285852,20-29,South Side,1548
7593,1984078,17069908,21,Female,Black,4,18,2017,18-Apr-17,Apr-17,April,Thursday,21:30:00,1290,"500 Block Knoll ST Pittsburgh, PA 15212",2702 Aggravated Assault. / 4304(a)(1) Endangering Welfare of Children.,"1200 Block Romanhoff ST Pittsburgh, PA 15212",Spring Hill-City View,1,2620,1,1,-79.99409364,40.46972195,20-29,North Side,2556
7579,1984048,17070099,20,Male,Black,4,18,2017,18-Apr-17,Apr-17,April,Thursday,21:55:00,1315,"300 Block Station Square DR W Pittsburgh, PA 15219",1543 Driving While Operating Privilege is Suspended or Revoked. / 4303 General Lighting Requirements. / 13(a)(16) Possession of Controlled Substance,"300 Block Station Square DR Pittsburgh, PA 15219",South Shore,3,1921,2,5,-80.00625719,40.43444035,20-29,South Side,0
7572,1984041,17061478,20,Female,Black,4,18,2017,18-Apr-17,Apr-17,April,Thursday,23:55:00,1435,"900 Block 2ND AV Pittsburgh, PA 15219",2702 Aggravated Assault. / 3502 Burglary.,"2100 Block Rhine ST Pittsburgh, PA 15212",Spring Hill-City View,1,2620,1,1,-79.99367687,40.46661676,20-29,North Side,6099
7518,1983967,17065529,44,Female,White,4,18,2017,18-Apr-17,Apr-17,April,Saturday,11:41:00,701,"600 Block 1st AV Pittsburgh, PA 15219",2706 Terroristic Threats. / 2709(a)(4) Harassment Communicates Prohibited Acts,"4300 Block Mc Caslin ST Pittsburgh, PA 15217",Greenfield,4,1517,5,3,-79.93731792,40.42124371,40-49,East End (South)/North Side,8230
7512,1983961,17038422,41,Male,White,4,18,2017,18-Apr-17,Apr-17,April,Sunday,11:14:00,674,"600 Block 1st AV Pittsburgh, PA 15219",4703 Operation of Vehicle without Official Certif. of Inspection / 4706 Prohib. on Expend. for Emission Insp Prog.. / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 4304(a)(1) Enhanced Endangering Welfare of Children - Course of Conduct,"300 Block N Neville ST Pittsburgh, PA 15213",Shadyside,4,709,8,3,-79.94975355,40.45254333,40-49,East End (South)/North Side,5925
7506,1983955,16209777,38,Male,White,4,18,2017,18-Apr-17,Apr-17,April,Monday,12:45:00,765,"3000 Block Beaver AV Pittsburgh, PA 15233",5123 Contraband. / 13(a)(16) Possession of Controlled Substance,"700 Block 2nd AV Pittsburgh, PA 15219",Bluff,2,103,6,6,-79.99439768,40.43526818,30-39,Downtown/Hill/Strip,6726
7509,1983958,17061829,31,Male,White,4,18,2017,18-Apr-17,Apr-17,April,Thursday,19:27:00,1167,"200 Block Onyx AV Pittsburgh, PA 15210",903 Criminal Conspiracy. / 2709(a)(4) Harassment Communicates Prohibited Acts / 2709.1 Stalking Conduct or Repeatedly Acts Including Follows,"800 Block E Warrington AV Pittsburgh, PA 15210",Allentown,3,1803,3,4,-79.99357756,40.42153188,30-39,South Side,1893
7493,1983942,17069133,25,Male,White,4,18,2017,18-Apr-17,Apr-17,April,Tuesday,19:15:00,1155,"900 Block 2nd AV Pittsburgh, PA 15219",2706 Terroristic Threats. / 2709(a) Harassment.,"1800 Block Forbes AV Pittsburgh, PA 15219",Bluff,2,103,6,3,-79.9813222,40.43734495,20-29,Downtown/Hill/Strip,2971
7523,1983972,17068513,25,Male,White,4,18,2017,18-Apr-17,Apr-17,April,Thursday,01:17:00,77,"300 Block S Main ST Pittsburgh, PA 15220",2701 Simple Assault.,"1100 Block Creedmoor AV Pittsburgh, PA 15226",Brookline,6,1918,4,4,-80.01518318,40.39095407,20-29,West End/South Side,8841
7504,1983953,16132628,35,Male,Black,4,17,2017,17-Apr-17,Apr-17,April,Saturday,12:25:00,745,"600 Block 1st AV Pittsburgh, PA 15219",2702 Aggravated Assault. / 4914 False Identification to Law Enforcement Authorities / 2707.1 Discharge of a Firearm into Occupied Structure,"1100 Block Buente ST Pittsburgh, PA 15212",Spring Hill-City View,1,2620,1,1,-79.99554483,40.46661658,30-39,North Side,5376
7489,1983938,17069098,21,Female,Black,4,17,2017,17-Apr-17,Apr-17,April,Friday,14:43:00,883,"East Hills DR & Wilner DR Pittsburgh, PA 15221",2702 Aggravated Assault. / 4304(a)(1) Endangering Welfare of Children.,"2200 Block Wilner DR Pittsburgh, PA 15221",East Hills,5,1306,9,2,-79.86682966,40.45338758,20-29,East End (North),4215253
7610,1984095,17060364,15,Male,Other,4,17,2017,17-Apr-17,Apr-17,April,Sunday,08:45:00,525,"600 Block 1ST AV PITTSBURGH, PA 15219",13(a)(31)(i) Marijuana - Possess Small Amt for Personal Use,"3800 Block PERRYSVILLE AV PITTSBURGH, PA 15214",Perry North,1,2602,1,1,-80.01602089,40.48755132,10-19,North Side,8386
7511,1983960,17014807,39,Male,White,4,17,2017,17-Apr-17,Apr-17,April,Saturday,10:00:00,600,"900 Block 2nd AV Pittsburgh, PA 15219",3502 Burglary. / 3921 Theft by Unlawful Taking or Disposition. / 3925 Receiving Stolen Property. / 3503 Criminal Trespass,"300 Block Glendon ST Pittsburgh, PA 15204",Oakwood,6,2812,2,5,-80.06615605,40.42560003,30-39,West End/South Side,8031
7515,1983964,17047236,33,Male,White,4,17,2017,17-Apr-17,Apr-17,April,Wednesday,15:45:00,945,"900 Block 2nd AV Pittsburgh, PA 15219",3921 Theft by Unlawful Taking or Disposition. / 4101 Forgery.,"2500 Block W LIBERTY AV Pittsburgh, PA 15226",Brookline,6,1919,4,5,-80.02549344,40.39918465,30-39,West End/South Side,4080
7521,1983970,17065959,25,Male,White,4,17,2017,17-Apr-17,Apr-17,April,Tuesday,10:45:00,645,"600 Block 1st AV Pittsburgh, PA 15219",2702 Aggravated Assault.,"1600 Block Saw Mill Run BL Pittsburgh, PA 15210",Carrick,3,2901,4,4,-79.9998956,40.397783,20-29,South Side,5476
7464,1983899,17061478,39,Female,Black,4,16,2017,16-Apr-17,Apr-17,April,Monday,14:00:00,840,"100 Block Rhine PL Pittsburgh, PA 15212",3502 Burglary.,"2100 Block Rhine ST Pittsburgh, PA 15212",Spring Hill-City View,1,2620,1,1,-79.99367687,40.46661676,30-39,North Side,94
7449,1983884,16123444,22,Male,Black,4,16,2017,16-Apr-17,Apr-17,April,Sunday,02:09:00,129,"16th ST & Smallman ST Pittsburgh, PA 15222","6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License. / 1332 Display of Registration Plate. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 1574 Permitting Unauthorized Person to Drive. / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 3714 Careless Driving","Washington BL & Allegheny River BL Pittsburgh, PA 15206",Highland Park,5,1106,7,2,-79.90784633,40.484269,20-29,East End (North),613904
7463,1983898,17061478,19,Female,Black,4,16,2017,16-Apr-17,Apr-17,April,Sunday,14:00:00,840,"100 Block Rhine PL Pittsburgh, PA 15212",2702 Aggravated Assault. / 3502 Burglary.,"2100 Block Rhine ST Pittsburgh, PA 15212",Spring Hill-City View,1,2620,1,1,-79.99367687,40.46661676,10-19,North Side,94
7561,1984013,17068683,15,Male,Black,4,16,2017,16-Apr-17,Apr-17,April,Sunday,21:19:00,1279,"6300 Block Monitor ST Pittsburgh, PA 15217",3925 Receiving Stolen Property. / 5121 Escape. / 4303 General Lighting Requirements. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,"3100 Block Terrace ST Pittsburgh, PA 15213",West Oakland,4,402,6,3,-79.96742805,40.43987116,10-19,East End (South)/North Side,5221
7541,1983990,17068322,38,Male,White,4,16,2017,16-Apr-17,Apr-17,April,Monday,04:10:00,250,"20th ST & Carey WY Pittsburgh, PA 15203",3304 Criminal Mischief. / 3745 Accidents Involving Damage to Unattended Veh.or Prop.,"1700 Block Sidney ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,4,-79.98191259,40.42970758,30-39,South Side,4153672
7488,1983937,17068553,28,Male,White,4,16,2017,16-Apr-17,Apr-17,April,Thursday,15:47:00,947,"Francis ST & Centre AV Pittsburgh, PA 15219",903 Criminal Conspiracy. / 4304(a)(1) Endangering Welfare of Children. / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"Centre AV & Watt ST Pittsburgh, PA 15219",Middle Hill,2,501,6,3,-79.96839573,40.44647368,20-29,Downtown/Hill/Strip,916874
7453,1983888,17003897,28,Female,White,4,16,2017,16-Apr-17,Apr-17,April,Thursday,12:10:00,730,"40 Block Gist ST Pittsburgh, PA 15219","3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","2900 Block Sheraden BL Pittsburgh, PA 15204",Sheraden,6,2018,2,5,-80.05405784,40.4533676,20-29,West End/South Side,10705
